State ,Status of Abortion ,Changed,State Law 
Alabama,4,1,0
Alaska,1,0,0
Arizona,2,0,0
Arkansas,4,1,0
California,1,0,1
Colorado,1,0,1
Connecticut,1,0,1
Delaware,1,0,1
District of Columbia,1,0,1
Florida,2,1,1
Georgia,3,1,0
Hawaii,1,0,1
Idaho,4,1,0
Illinois,1,0,1
Indiana,4,1,0
Iowa,2,0,1
Kansas,2,0,1
Kentucky,4,1,0
Louisiana,4,1,0
Maine,1,0,1
Maryland,1,0,1
Massachusetts,1,0,1
Michigan,1,0,1
Minnesota,1,0,1
Mississippi,4,1,0
Missouri,4,1,0
Montana,1,0,1
Nebraska,3,1,0
Nevada,1,0,0
New Hampshire,1,0,1
New Jersey,1,0,1
New Mexico,1,0,0
New York,1,0,1
North Carolina,3,1,0
North Dakota,4,1,0
Ohio,2,0,0
Oklahoma,4,1,0
Oregon,1,0,1
Pennsylvania,1,0,0
Rhode Island,1,0,1
South Carolina,3,1,0
South Dakota,4,1,0
Tennessee,4,1,0
Texas,4,1,0
Utah,2,1,0
Vermont,1,0,1
Virginia,1,0,1
Washington,1,0,1
West Virginia,4,1,0
Wisconsin,2,1,0
Wyoming,1,0,0