State,Status,code
Alabama,Abortion banned,AL
Alaska,Abortion legal beyond 22 weeks LMP,AK
Arizona,Gestational limit between 15 and 22 weeks LMP,AZ
Arkansas,Abortion banned,AR
California,Abortion legal beyond 22 weeks LMP,CA
Colorado,Abortion legal beyond 22 weeks LMP,CO
Connecticut,Abortion legal beyond 22 weeks LMP,CT
Delaware,Abortion legal beyond 22 weeks LMP,DE
District of Columbia,Abortion legal beyond 22 weeks LMP,NA
Florida,Gestational limit between 15 and 22 weeks LMP,FL
Georgia,Gestational limit between 6 and 12 weeks LMP,GA
Hawaii,Abortion legal beyond 22 weeks LMP,HI
Idaho,Abortion banned,ID
Illinois,Abortion legal beyond 22 weeks LMP,IL
Indiana,Abortion banned,IN
Iowa,Gestational limit between 15 and 22 weeks LMP,IA
Kansas,Gestational limit between 15 and 22 weeks LMP,KS
Kentucky,Abortion banned,KY
Louisiana,Abortion banned,LA
Maine,Abortion legal beyond 22 weeks LMP,ME
Maryland,Abortion legal beyond 22 weeks LMP,MD
Massachusetts,Abortion legal beyond 22 weeks LMP,MA
Michigan,Abortion legal beyond 22 weeks LMP,MI
Minnesota,Abortion legal beyond 22 weeks LMP,MN
Mississippi,Abortion banned,MS
Missouri,Abortion banned,MO
Montana,Abortion legal beyond 22 weeks LMP,MT
Nebraska,Gestational limit between 6 and 12 weeks LMP,NE
Nevada,Abortion legal beyond 22 weeks LMP,NV
New Hampshire,Abortion legal beyond 22 weeks LMP,NH
New Jersey,Abortion legal beyond 22 weeks LMP,NJ
New Mexico,Abortion legal beyond 22 weeks LMP,NM
New York,Abortion legal beyond 22 weeks LMP,NY
North Carolina,Gestational limit between 6 and 12 weeks LMP,NC
North Dakota,Abortion banned,ND
Ohio,Gestational limit between 15 and 22 weeks LMP,OH
Oklahoma,Abortion banned,OK
Oregon,Abortion legal beyond 22 weeks LMP,OR
Pennsylvania,Abortion legal beyond 22 weeks LMP,PA
Rhode Island,Abortion legal beyond 22 weeks LMP,RI
South Carolina,Gestational limit between 6 and 12 weeks LMP,SC
South Dakota,Abortion banned,SD
Tennessee,Abortion banned,TN
Texas,Abortion banned,TX
Utah,Gestational limit between 15 and 22 weeks LMP,UT
Vermont,Abortion legal beyond 22 weeks LMP,VT
Virginia,Abortion legal beyond 22 weeks LMP,VA
Washington,Abortion legal beyond 22 weeks LMP,WA
West Virginia,Abortion banned,WV
Wisconsin,Gestational limit between 15 and 22 weeks LMP,WI
Wyoming,Abortion legal beyond 22 weeks LMP,WY